,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
291,Valday,RU,57.9747,33.2525,50.38,98,16,6.02,few clouds
292,Saldanha,ZA,-33.0117,17.9442,57.7,77,100,8.48,overcast clouds
293,Souillac,MU,-20.5167,57.5167,70.27,82,88,15.19,light rain
294,Solna,SK,49.2231,18.7394,58.59,72,20,2.3,few clouds
295,Karratha,AU,-20.7377,116.8463,63.81,46,2,7.54,clear sky
296,Pahalgam,IN,34.0333,75.3333,59.5,82,100,2.46,overcast clouds
297,La Fleche,FR,47.6982,-0.0755,77.25,37,53,13.2,broken clouds
298,Nambucca Heads,AU,-30.65,153.0,50.0,74,66,4.79,broken clouds
299,Qostanay,KZ,53.1667,63.5833,68.29,83,100,17.9,light intensity shower rain
300,Trincomalee,LK,8.5711,81.2335,80.78,74,100,22.66,overcast clouds
301,Manta,EC,-0.95,-80.7333,78.58,73,40,11.5,scattered clouds
302,Senador Jose Porfirio,BR,-2.5908,-51.9542,81.88,73,100,3.18,overcast clouds
303,Yelkhovka,RU,53.8667,50.2832,68.76,90,1,8.03,clear sky
304,Zhanaozen,KZ,43.3,52.8,84.54,31,7,16.17,clear sky
305,Leningradskiy,RU,69.3833,178.4167,41.77,68,100,5.97,overcast clouds
306,Burnie,AU,-41.0667,145.9167,48.94,91,100,10.27,moderate rain
307,Gillette,US,44.2911,-105.5022,92.05,27,99,4.0,overcast clouds
308,Teguldet,RU,57.3064,88.1667,49.89,91,46,3.27,scattered clouds
309,General Roca,AR,-39.0333,-67.5833,40.62,74,100,15.21,light rain
310,Haines Junction,CA,60.7522,-137.5108,52.93,89,100,2.17,overcast clouds
311,Kropotkin,RU,45.4375,40.5756,70.77,58,1,7.67,clear sky
312,Urengoy,RU,65.9667,78.3667,58.21,55,97,6.44,overcast clouds
313,Akureyri,IS,65.6835,-18.0878,61.12,51,70,4.43,broken clouds
314,Vaitape,PF,-16.5167,-151.75,77.83,59,79,19.69,broken clouds
315,Port Hedland,AU,-20.3167,118.5667,53.65,62,6,8.05,clear sky
316,Florence,IT,43.7667,11.25,80.28,62,0,2.3,clear sky
317,Poum,NC,-20.2333,164.0167,71.76,58,0,24.56,clear sky
318,Nouadhibou,MR,20.931,-17.0347,68.2,90,27,23.6,scattered clouds
319,Inhambane,MZ,-23.865,35.3833,65.73,80,11,10.87,few clouds
320,Port Maria,JM,18.3685,-76.8895,87.03,72,100,8.08,overcast clouds
321,Huaibei,CN,33.9744,116.7917,82.0,87,100,3.38,overcast clouds
322,Talnakh,RU,69.4865,88.3972,53.92,70,8,1.57,clear sky
323,Ponta Do Sol,PT,32.6667,-17.1,74.01,81,19,6.17,few clouds
324,Vila Velha,BR,-20.3297,-40.2925,73.35,78,20,5.75,few clouds
325,Pamanukan,ID,-6.2842,107.8106,75.42,91,100,4.61,light rain
326,Avera,US,33.194,-82.5271,89.65,48,59,6.76,broken clouds
327,Belmonte,BR,-15.8631,-38.8828,72.01,85,70,7.49,broken clouds
328,Zelenogradsk,RU,54.9589,20.4767,60.96,73,40,11.18,scattered clouds
329,Hay River,CA,60.8156,-115.7999,64.36,72,75,8.05,broken clouds
330,Hailar,CN,49.2,119.7,61.57,93,89,7.09,overcast clouds
331,Dunedin,NZ,-45.8742,170.5036,42.8,59,9,11.99,clear sky
332,Isfana,KG,39.8386,69.5306,66.76,30,0,3.11,clear sky
333,Raudeberg,NO,61.9875,5.1352,52.47,78,59,9.44,broken clouds
334,Maham,IN,28.9833,76.3,88.81,54,76,8.41,broken clouds
335,Longyearbyen,SJ,78.2186,15.6401,57.04,62,75,13.8,broken clouds
336,Laguna,US,38.421,-121.4238,99.09,33,0,6.91,clear sky
337,Humberto De Campos,BR,-2.5983,-43.4611,76.57,89,98,3.27,overcast clouds
338,Pauini,BR,-7.7136,-66.9764,85.15,63,98,1.21,overcast clouds
339,Nobres,BR,-14.7203,-56.3275,90.39,28,84,5.3,broken clouds
340,Tortoli,IT,39.9256,9.6572,77.92,61,0,3.51,clear sky
341,Itarema,BR,-2.9248,-39.9167,79.05,75,64,14.9,broken clouds
342,Boulder City,US,35.9786,-114.8325,105.22,20,9,0.31,clear sky
343,Plouzane,FR,48.3833,-4.6167,66.25,61,0,11.5,clear sky
344,Thinadhoo,MV,0.5333,72.9333,83.16,76,99,14.67,overcast clouds
